Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Turkiye,TUR,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.689673313,6.775105586,7.810937546,7.483252451,8.428052184,7.499622298,,6.610413678,6.529511047,6.905748806,,,4.548118873,5.551664908,5.130638239,4.237110739,3.749974577,4.094068951,4.005664461,
Turkiye,TUR,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,204000,,,2000,,,
Turkiye,TUR,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,19.90049744,,30.34825897,,34.3283577,40.29850769,41.34615326,41.34615326,37.01922989,37.5,39.90384674,39.8104248,36.4928894,35.6807518,34.74178314,33.8028183,30.54187202,28.5714283,23.64532089,22.66009903,18.84057999,20.28985596,20.28985596,19.8067627,
Turkiye,TUR,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,44.39359268,41.27310062,36.12774451,44.75982533,60.62176166,50.9057971,54.69798658,33.21678322,19.55951757,21.90923318,25,38.58906526,31.84713376,38.83188635,42.40950837,40.6453664,40.91601116,32.51255666,39.28957029,37.64023579,40.2965588,34.24525043,43.96202926,36.55824153,31.07868185,32.26466576,39.8351505,53.92254882,60.65960796,74.18275131,71.44233717,69.78037961,67.76259607,65.63523967,63.74822656,64.99604028,62.79541789,61.48220859,59.83493494,48.93407061,48.84098508,49.43086194,41.73964316,43.14292691,44.28393354,51.64782222,35.19379026,43.61439075,45.95740881
Turkiye,TUR,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,437000000,487000000,501000000,458000000,386000000,552000000,596000000,1144000000,1907000000,1917000000,2192000000,2835000000,2983000000,3801000000,5553000000,6291000000,7882000000,8163000000,9262000000,10518000000,10723000000,14475000000,12852000000,19153000000,23093000000,16126000000,19169000000,15003000000,13978000000,17926000000,22831000000,27502000000,25762000000,29603000000,36652000000,35356000000,35966000000,40750000000,43498000000,58775000000,62208000000,55259000000,45791000000,53237000000,58563000000,66421000000,37876000000,61067000000,89596000000
Turkiye,TUR,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,319000000,347000000,380900000,367900000,410900000,454200000,490600000,522500000,495900000,536950000,588490000,676630000,892160000,1316520000,1531960000,1400860000,1960160000,1752710000,2288310000,2258760000,2913780000,4695630000,5746840000,5732090000,7133020000,7957920000,7455920000,10237600000,11753020000,11823411000,13384405000,13722289000,14595879000,15345585000,18284501000,21649485000,23100360859,26245506000,27184321000,26587129400,27774906054,31334216363,36059281684,47253986396,63016888939,73306851637,85165833378,1.06539E+11,1.32027E+11,1.02143E+11,1.13883E+11,1.34907E+11,1.52462E+11,1.61481E+11,1.66505E+11,1.50982E+11,1.49247E+11,1.64495E+11,1.77169E+11,1.80833E+11,1.69638E+11,,
Turkiye,TUR,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,9.122257053,10.77809798,6.694670517,6.740962218,7.179362375,6.296785557,5.218100285,4.918660287,7.098205283,7.090045628,8.581284304,9.70545202,9.383967001,12.69635099,13.78038591,15.71891552,10.88125459,11.52158657,13.59737099,16.15576688,18.77904303,35.34051874,38.49785273,36.85252674,33.40871048,32.97595352,26.29816307,21.49771431,20.39450286,16.71471118,12.7674185,13.66364606,12.63557337,10.37784483,9.253131929,9.124290947,9.431502072,7.420062696,8.735550172,7.810953969,6.525383656,7.04439209,6.372393891,8.070389226,9.371632876,10.16859463,9.572533031,9.526254406,10.94629691,17.24260151,17.15919605,16.16129874,21.604922,20.44583426,19.51396829,17.95463342,17.47608687,15.86967102,15.11422113,15.81114616,14.72096829,,
Turkiye,TUR,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,9.592476489,11.32564841,6.720924127,6.795324817,7.544414699,6.979304271,5.523848349,5.435406699,7.582173825,7.551913586,9.837040561,10.96906729,12.07406743,16.03165922,16.22300843,17.36576103,11.79801649,13.45573426,15.34451189,17.487471,19.54402872,37.200759,40.91413716,38.4882303,35.00999577,34.39743048,29.52378781,24.63380089,25.84178364,19.8994182,16.45711558,16.55325872,14.88440676,16.42391606,15.00472996,14.67812283,13.17247793,10.89036348,11.78988432,11.29197376,9.543115076,10.6130006,10.1656642,12.12610658,12.83276182,14.2464655,13.71160358,14.04422471,16.47859786,23.99518041,24.24554569,23.73416529,29.0387667,28.65807371,26.97277084,25.24512425,24.58182745,23.32805806,23.43567601,24.02954892,23.4137595,,
Turkiye,TUR,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,6.580242743,4.434424187,5.904162898,7.601802592,14.05129173,6.743267057,7.738967239,6.901905445,7.579193312,6.003334708,4.395458226,4.22966401,7.236345243,8.366811017,6.394864309,8.220116146,5.703538799,6.364191176,7.034407167,4.571261078,3.646737178,4.459492261,4.446519638,4.30408872,4.6515312,3.825298242,,5.911054233,4.472398685,3.370419675,2.910496502,2.594690817,2.623455533,3.305269543,3.060303336,3.046313923,2.87914954,2.788928284,2.587422982,2.22073372,2.00856035,2.006134159,2.17626873,2.468019619,3.300228929,3.467924981,3.308857631,3.06416488,4.334385509,4.165677625,3.911681717,4.125296564,3.772757403,3.546720116,3.448900749,3.919291799,4.068885805,3.719989564,4.032077726,4.955695883,5.235778489
Turkiye,TUR,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,1.616342574,2.486475829,2.285798427,1.230255509,0.682426602,0.085612772,0.268669887,0.739954865,0.623186474,0.436261585,2.525453055,3.715465827,5.586345285,2.573206768,0.826897591,0.004019053,0.155738305,0.092020676,1.427625558,2.280870866,5.999711171,4.107654607,5.704053059,4.681598419,2.423427577,2.290954534,,2.2228521,2.286726414,2.136011424,1.584311686,1.149996005,1.346729586,1.335120201,1.154333514,0.733053542,0.963152688,1.266624029,1.068800062,1.418717747,1.91007933,2.074221479,2.264124718,3.59438376,4.169317505,4.798880884,5.704525469,3.83892447,3.836359765,4.753282435,4.904753592,6.111335211,4.368138216,3.264181019,2.137428569,2.753724723,3.122700422,4.49416368,2.692390351,3.690001553,6.321925731
